province_id,city_name
1,KABUPATEN SIMEULUE
1,KABUPATEN ACEH SINGKIL
1,KABUPATEN ACEH SELATAN
1,KABUPATEN ACEH TENGGARA
1,KABUPATEN ACEH TIMUR
1,KABUPATEN ACEH TENGAH
1,KABUPATEN ACEH BARAT
1,KABUPATEN ACEH BESAR
1,KABUPATEN PIDIE
1,KABUPATEN BIREUEN
1,KABUPATEN ACEH UTARA
1,KABUPATEN ACEH BARAT DAYA
1,KABUPATEN GAYO LUES
1,KABUPATEN ACEH TAMIANG
1,KABUPATEN NAGAN RAYA
1,KABUPATEN ACEH JAYA
1,KABUPATEN BENER MERIAH
1,KABUPATEN PIDIE JAYA
1,KOTA BANDA ACEH
1,KOTA SABANG
1,KOTA LANGSA
1,KOTA LHOKSEUMAWE
1,KOTA SUBULUSSALAM
2,KABUPATEN NIAS
2,KABUPATEN MANDAILING NATAL
2,KABUPATEN TAPANULI SELATAN
2,KABUPATEN TAPANULI TENGAH
2,KABUPATEN TAPANULI UTARA
2,KABUPATEN TOBA SAMOSIR
2,KABUPATEN LABUHAN BATU
2,KABUPATEN ASAHAN
2,KABUPATEN SIMALUNGUN
2,KABUPATEN DAIRI
2,KABUPATEN KARO
2,KABUPATEN DELI SERDANG
2,KABUPATEN LANGKAT
2,KABUPATEN NIAS SELATAN
2,KABUPATEN HUMBANG HASUNDUTAN
2,KABUPATEN PAKPAK BHARAT
2,KABUPATEN SAMOSIR
2,KABUPATEN SERDANG BEDAGAI
2,KABUPATEN BATU BARA
2,KABUPATEN PADANG LAWAS UTARA
2,KABUPATEN PADANG LAWAS
2,KABUPATEN LABUHAN BATU SELATAN
2,KABUPATEN LABUHAN BATU UTARA
2,KABUPATEN NIAS UTARA
2,KABUPATEN NIAS BARAT
2,KOTA SIBOLGA
2,KOTA TANJUNG BALAI
2,KOTA PEMATANG SIANTAR
2,KOTA TEBING TINGGI
2,KOTA MEDAN
2,KOTA BINJAI
2,KOTA PADANGSIDIMPUAN
2,KOTA GUNUNGSITOLI
3,KABUPATEN KEPULAUAN MENTAWAI
3,KABUPATEN PESISIR SELATAN
3,KABUPATEN SOLOK
3,KABUPATEN SIJUNJUNG
3,KABUPATEN TANAH DATAR
3,KABUPATEN PADANG PARIAMAN
3,KABUPATEN AGAM
3,KABUPATEN LIMA PULUH KOTA
3,KABUPATEN PASAMAN
3,KABUPATEN SOLOK SELATAN
3,KABUPATEN DHARMASRAYA
3,KABUPATEN PASAMAN BARAT
3,KOTA PADANG
3,KOTA SOLOK
3,KOTA SAWAH LUNTO
3,KOTA PADANG PANJANG
3,KOTA BUKITTINGGI
3,KOTA PAYAKUMBUH
3,KOTA PARIAMAN
4,KABUPATEN KUANTAN SINGINGI
4,KABUPATEN INDRAGIRI HULU
4,KABUPATEN INDRAGIRI HILIR
4,KABUPATEN PELALAWAN
4,KABUPATEN S I A K
4,KABUPATEN KAMPAR
4,KABUPATEN ROKAN HULU
4,KABUPATEN BENGKALIS
4,KABUPATEN ROKAN HILIR
4,KABUPATEN KEPULAUAN MERANTI
4,KOTA PEKANBARU
4,KOTA D U M A I
5,KABUPATEN KERINCI
5,KABUPATEN MERANGIN
5,KABUPATEN SAROLANGUN
5,KABUPATEN BATANG HARI
5,KABUPATEN MUARO JAMBI
5,KABUPATEN TANJUNG JABUNG TIMUR
5,KABUPATEN TANJUNG JABUNG BARAT
5,KABUPATEN TEBO
5,KABUPATEN BUNGO
5,KOTA JAMBI
5,KOTA SUNGAI PENUH
6,KABUPATEN OGAN KOMERING ULU
6,KABUPATEN OGAN KOMERING ILIR
6,KABUPATEN MUARA ENIM
6,KABUPATEN LAHAT
6,KABUPATEN MUSI RAWAS
6,KABUPATEN MUSI BANYUASIN
6,KABUPATEN BANYU ASIN
6,KABUPATEN OGAN KOMERING ULU SELATAN
6,KABUPATEN OGAN KOMERING ULU TIMUR
6,KABUPATEN OGAN ILIR
6,KABUPATEN EMPAT LAWANG
6,KABUPATEN PENUKAL ABAB LEMATANG ILIR
6,KABUPATEN MUSI RAWAS UTARA
6,KOTA PALEMBANG
6,KOTA PRABUMULIH
6,KOTA PAGAR ALAM
6,KOTA LUBUKLINGGAU
7,KABUPATEN BENGKULU SELATAN
7,KABUPATEN REJANG LEBONG
7,KABUPATEN BENGKULU UTARA
7,KABUPATEN KAUR
7,KABUPATEN SELUMA
7,KABUPATEN MUKOMUKO
7,KABUPATEN LEBONG
7,KABUPATEN KEPAHIANG
7,KABUPATEN BENGKULU TENGAH
7,KOTA BENGKULU
8,KABUPATEN LAMPUNG BARAT
8,KABUPATEN TANGGAMUS
8,KABUPATEN LAMPUNG SELATAN
8,KABUPATEN LAMPUNG TIMUR
8,KABUPATEN LAMPUNG TENGAH
8,KABUPATEN LAMPUNG UTARA
8,KABUPATEN WAY KANAN
8,KABUPATEN TULANGBAWANG
8,KABUPATEN PESAWARAN
8,KABUPATEN PRINGSEWU
8,KABUPATEN MESUJI
8,KABUPATEN TULANG BAWANG BARAT
8,KABUPATEN PESISIR BARAT
8,KOTA BANDAR LAMPUNG
8,KOTA METRO
9,KABUPATEN BANGKA
9,KABUPATEN BELITUNG
9,KABUPATEN BANGKA BARAT
9,KABUPATEN BANGKA TENGAH
9,KABUPATEN BANGKA SELATAN
9,KABUPATEN BELITUNG TIMUR
9,KOTA PANGKAL PINANG
10,KABUPATEN KARIMUN
10,KABUPATEN BINTAN
10,KABUPATEN NATUNA
10,KABUPATEN LINGGA
10,KABUPATEN KEPULAUAN ANAMBAS
10,KOTA B A T A M
10,KOTA TANJUNG PINANG
11,KABUPATEN KEPULAUAN SERIBU
11,KOTA JAKARTA SELATAN
11,KOTA JAKARTA TIMUR
11,KOTA JAKARTA PUSAT
11,KOTA JAKARTA BARAT
11,KOTA JAKARTA UTARA
12,KABUPATEN BOGOR
12,KABUPATEN SUKABUMI
12,KABUPATEN CIANJUR
12,KABUPATEN BANDUNG
12,KABUPATEN GARUT
12,KABUPATEN TASIKMALAYA
12,KABUPATEN CIAMIS
12,KABUPATEN KUNINGAN
12,KABUPATEN CIREBON
12,KABUPATEN MAJALENGKA
12,KABUPATEN SUMEDANG
12,KABUPATEN INDRAMAYU
12,KABUPATEN SUBANG
12,KABUPATEN PURWAKARTA
12,KABUPATEN KARAWANG
12,KABUPATEN BEKASI
12,KABUPATEN BANDUNG BARAT
12,KABUPATEN PANGANDARAN
12,KOTA BOGOR
12,KOTA SUKABUMI
12,KOTA BANDUNG
12,KOTA CIREBON
12,KOTA BEKASI
12,KOTA DEPOK
12,KOTA CIMAHI
12,KOTA TASIKMALAYA
12,KOTA BANJAR
13,KABUPATEN CILACAP
13,KABUPATEN BANYUMAS
13,KABUPATEN PURBALINGGA
13,KABUPATEN BANJARNEGARA
13,KABUPATEN KEBUMEN
13,KABUPATEN PURWOREJO
13,KABUPATEN WONOSOBO
13,KABUPATEN MAGELANG
13,KABUPATEN BOYOLALI
13,KABUPATEN KLATEN
13,KABUPATEN SUKOHARJO
13,KABUPATEN WONOGIRI
13,KABUPATEN KARANGANYAR
13,KABUPATEN SRAGEN
13,KABUPATEN GROBOGAN
13,KABUPATEN BLORA
13,KABUPATEN REMBANG
13,KABUPATEN PATI
13,KABUPATEN KUDUS
13,KABUPATEN JEPARA
13,KABUPATEN DEMAK
13,KABUPATEN SEMARANG
13,KABUPATEN TEMANGGUNG
13,KABUPATEN KENDAL
13,KABUPATEN BATANG
13,KABUPATEN PEKALONGAN
13,KABUPATEN PEMALANG
13,KABUPATEN TEGAL
13,KABUPATEN BREBES
13,KOTA MAGELANG
13,KOTA SURAKARTA
13,KOTA SALATIGA
13,KOTA SEMARANG
13,KOTA PEKALONGAN
13,KOTA TEGAL
14,KABUPATEN KULON PROGO
14,KABUPATEN BANTUL
14,KABUPATEN GUNUNG KIDUL
14,KABUPATEN SLEMAN
14,KOTA YOGYAKARTA
15,KABUPATEN PACITAN
15,KABUPATEN PONOROGO
15,KABUPATEN TRENGGALEK
15,KABUPATEN TULUNGAGUNG
15,KABUPATEN BLITAR
15,KABUPATEN KEDIRI
15,KABUPATEN MALANG
15,KABUPATEN LUMAJANG
15,KABUPATEN JEMBER
15,KABUPATEN BANYUWANGI
15,KABUPATEN BONDOWOSO
15,KABUPATEN SITUBONDO
15,KABUPATEN PROBOLINGGO
15,KABUPATEN PASURUAN
15,KABUPATEN SIDOARJO
15,KABUPATEN MOJOKERTO
15,KABUPATEN JOMBANG
15,KABUPATEN NGANJUK
15,KABUPATEN MADIUN
15,KABUPATEN MAGETAN
15,KABUPATEN NGAWI
15,KABUPATEN BOJONEGORO
15,KABUPATEN TUBAN
15,KABUPATEN LAMONGAN
15,KABUPATEN GRESIK
15,KABUPATEN BANGKALAN
15,KABUPATEN SAMPANG
15,KABUPATEN PAMEKASAN
15,KABUPATEN SUMENEP
15,KOTA KEDIRI
15,KOTA BLITAR
15,KOTA MALANG
15,KOTA PROBOLINGGO
15,KOTA PASURUAN
15,KOTA MOJOKERTO
15,KOTA MADIUN
15,KOTA SURABAYA
15,KOTA BATU
16,KABUPATEN PANDEGLANG
16,KABUPATEN LEBAK
16,KABUPATEN TANGERANG
16,KABUPATEN SERANG
16,KOTA TANGERANG
16,KOTA CILEGON
16,KOTA SERANG
16,KOTA TANGERANG SELATAN
17,KABUPATEN JEMBRANA
17,KABUPATEN TABANAN
17,KABUPATEN BADUNG
17,KABUPATEN GIANYAR
17,KABUPATEN KLUNGKUNG
17,KABUPATEN BANGLI
17,KABUPATEN KARANG ASEM
17,KABUPATEN BULELENG
17,KOTA DENPASAR
18,KABUPATEN LOMBOK BARAT
18,KABUPATEN LOMBOK TENGAH
18,KABUPATEN LOMBOK TIMUR
18,KABUPATEN SUMBAWA
18,KABUPATEN DOMPU
18,KABUPATEN BIMA
18,KABUPATEN SUMBAWA BARAT
18,KABUPATEN LOMBOK UTARA
18,KOTA MATARAM
18,KOTA BIMA
19,KABUPATEN SUMBA BARAT
19,KABUPATEN SUMBA TIMUR
19,KABUPATEN KUPANG
19,KABUPATEN TIMOR TENGAH SELATAN
19,KABUPATEN TIMOR TENGAH UTARA
19,KABUPATEN BELU
19,KABUPATEN ALOR
19,KABUPATEN LEMBATA
19,KABUPATEN FLORES TIMUR
19,KABUPATEN SIKKA
19,KABUPATEN ENDE
19,KABUPATEN NGADA
19,KABUPATEN MANGGARAI
19,KABUPATEN ROTE NDAO
19,KABUPATEN MANGGARAI BARAT
19,KABUPATEN SUMBA TENGAH
19,KABUPATEN SUMBA BARAT DAYA
19,KABUPATEN NAGEKEO
19,KABUPATEN MANGGARAI TIMUR
19,KABUPATEN SABU RAIJUA
19,KABUPATEN MALAKA
19,KOTA KUPANG
20,KABUPATEN SAMBAS
20,KABUPATEN BENGKAYANG
20,KABUPATEN LANDAK
20,KABUPATEN MEMPAWAH
20,KABUPATEN SANGGAU
20,KABUPATEN KETAPANG
20,KABUPATEN SINTANG
20,KABUPATEN KAPUAS HULU
20,KABUPATEN SEKADAU
20,KABUPATEN MELAWI
20,KABUPATEN KAYONG UTARA
20,KABUPATEN KUBU RAYA
20,KOTA PONTIANAK
20,KOTA SINGKAWANG
21,KABUPATEN KOTAWARINGIN BARAT
21,KABUPATEN KOTAWARINGIN TIMUR
21,KABUPATEN KAPUAS
21,KABUPATEN BARITO SELATAN
21,KABUPATEN BARITO UTARA
21,KABUPATEN SUKAMARA
21,KABUPATEN LAMANDAU
21,KABUPATEN SERUYAN
